state,census,south
connecticut,northeast,0
maine,northeast,0
massachusetts,northeast,0
new hampshire,northeast,0
rhode island,northeast,0
vermont,northeast,0
new jersey,northeast,0
new york,northeast,0
pennsylvania,northeast,0
illinois,midwest,0
indiana,midwest,0
michigan,midwest,0
ohio,midwest,0
wisconsin,midwest,0
iowa,midwest,0
kansas,midwest,0
minnesota,midwest,0
missouri,midwest,0
nebraska,midwest,0
north dakota,midwest,0
south dakota,midwest,0
delaware,south,1
florida,south,1
georgia,south,1
maryland,south,1
north carolina,south,1
south carolina,south,1
virginia,south,1
district of columbia,south,1
west virginia,south,1
alabama,south,1
kentucky,south,1
mississippi,south,1
tennessee,south,1
arkansas,south,1
louisiana,south,1
oklahoma,south,1
texas,south,1
arizona,west,0
colorado,west,0
idaho,west,0
montana,west,0
nevada,west,0
new mexico,west,0
utah,west,0
wyoming,west,0
alaska,west,0
california,west,0
hawaii,west,0
oregon,west,0
washington,west,0
